,Model_Year,Make,Model,Trim,Body_Style,Color_Interior,Color_Exterior,Engine,Displacement,Transmission,Transmission_Detail,VIN,Condition,Mileage,Days_on_Site,Private_or_Dealer,Price,Title_Clean_Filter,PriceHistory
175_735670880,2021,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Gray,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW1MGN05990,USED,"17,769",22,,107785.0,True,
175_735884429,2008,Aston Martin,V8 Vantage,Roadster,Convertible,Obsidian Black,Tungsten Silver,8-Cylinder,4.3,Automatic,6-Speed Automatic,SCFBF04B68GD07957,USED,"32,727",19,,39869.0,True,"[{'dateUpdated': '12.24.2024', 'price': '$44,869'}, {'dateUpdated': '01.03.2025', 'price': '$41,869'}, {'dateUpdated': 'Price Today', 'price': '$39,869'}]"
175_735972711,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Jet Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW4SGN10185,NEW,28,16,,221655.0,False,
175_736075421,2023,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black,Royal Indigo,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW5PGN08461,USED,"2,133",16,,159950.0,True,
175_736588195,2020,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW3LGN03852,USED,"22,001",9,,89900.0,True,
175_736735894,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Lunar White,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW4SGN09408,NEW,29,7,,218755.0,False,
200_656790523,2019,Aston Martin,V8 Vantage,Coupe,Coupe,Obsidian Black,Magnetic Silver,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW4KGN01431,USED,"9,949",623,,93898.0,True,"[{'dateUpdated': 'Price Today', 'price': '$93,898'}]"
200_669966350,2008,Aston Martin,V8 Vantage,Roadster,Convertible,Brown,Onyx Black Metallic,8-Cylinder,4.3,Automatic,6-Speed Automatic,SCFBF04BX8GD08478,USED,"14,000",729,,49900.0,True,
200_705088983,2019,Aston Martin,V8 Vantage,Coupe,Coupe,Black Damson,Hammerhead Silver,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW0KGN02690,USED,"29,657",354,,77999.0,False,
200_714580932,2020,Aston Martin,V8 Vantage,Coupe,Coupe,Black,China Grey,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW5LGN02878,USED,"15,525",249,,102995.0,True,
